HTML_LANG_TWOLETTER_CODE, en, ru
Acetic acid, Acetic acid, Уксусная кислота
Acetone, Acetone, Ацетон
Aluminium potassium sulfate, Aluminium potassium sulfate, Сульфат алюминия-калия
Ammonia, Ammonia, Аммиак
Ammonium carbonate, Ammonium carbonate, Карбонат аммония
Ammonium chloride, Ammonium chloride, Хлорид аммония
Ammonium iron (III) sulfate, Ammonium iron (III) sulfate, Сульфат аммония-железа (III)
Ammonium sodium hydrogen phosphate, Ammonium sodium hydrogen phosphate, Гидрофосфат аммония-натрия
Ascorbic acid, Ascorbic acid, Аскорбиновая кислота
Benzene, Benzene, Бензол
Calcium carbonate, Calcium carbonate, Карбонат кальция
Calcium chloride, Calcium chloride, Хлорид кальция
Calcium hydrogen carbonate, Calcium hydrogen carbonate, Гидрокарбонат кальция
Calcium hydroxide, Calcium hydroxide, Гидроксид кальция
Calcium nitrate, Calcium nitrate, Нитрат кальция
Calcium oxide, Calcium oxide, Оксид кальция
Calcium sulfate, Calcium sulfate, Сульфат кальция
Carbamide, Carbamide, Карбамид
Carbon Dioxide, Carbon Dioxide, Диоксид углерода
Carbon, Carbon, Углерод
Chlorine, Chlorine, Хлор
Citric acid, Citric acid, Лимонная кислота
Copper (I) iodide, Copper (I) iodide, Иодид меди (I)
Copper (II) oxide, Copper (II) oxide, Оксид меди (II)
Copper (II) sulfate, Copper (II) sulfate, Сульфат меди (II)
Copper, Copper, Медь
Diethyl ether, Diethyl ether, Диэтиловый эфир
Disodium disulfite, Disodium disulfite, Пиросульфит натрия
Ethanol, Ethanol, Этанол
Ethyl acrylate, Ethyl acrylate, Этилакрилат
Fructose, Fructose, Фруктоза
Glucose, Glucose, Глюкоза
Glycerine, Glycerine, Глицерин
Hydrochloric acid, Hydrochloric acid, Хлороводородная кислота
Hydrogen peroxide, Hydrogen peroxide, Перекись водорода
Hydrogen sulfide, Hydrogen sulfide, Сероводород
Hydrogen, Hydrogen, Водород
Iodine, Iodine, Иод
Iron (II) sulfate, Iron (II) sulfate, Сульфат железа (II)
Iron (II) sulfide, Iron (II) sulfide, Сульфид железа (II)
Iron (III) chloride, Iron (III) chloride, Хлорид железа (III)
Iron, Iron, Железо
Lactose, Lactose, Лактоза
Luminol, Luminol, Люминол
Magnesium oxide, Magnesium oxide, Оксид магния
Magnesium sulfate, Magnesium sulfate, Сульфат магния
Magnesium, Magnesium, Магний
Manganese (II) sulfate, Manganese (II) sulfate, Сульфат марганца (II)
Manganese (IV) dioxide, Manganese (IV) dioxide, Диоксид марганца (IV)
Methyl orange, Methyl orange, Метиловый оранжевый
Methylene blue, Methylene blue, Метиленовый синий
Ninhydrin, Ninhydrin, Нингидрин
Nitric acid, Nitric acid, Азотная кислота
Nitrogen triiodide, Nitrogen triiodide, Нитрид трииода
Oxygen, Oxygen, Кислород
Phenol red, Phenol red, Феноловый красный
Phenol, Phenol, Фенол
Potassium bromide, Potassium bromide, Бромид калия
Potassium hexacyanoferrate (II), Potassium hexacyanoferrate (II), Гексацианоферрат (II) калия
Potassium hexacyanoferrate (III), Potassium hexacyanoferrate (III), Гексацианоферрат (III) калия
Potassium iodide, Potassium iodide, Иодид калия
Potassium permanganate, Potassium permanganate, Перманганат калия
Silicon dioxide, Silicon dioxide, Диоксид кремния
Silver chloride, Silver chloride, Хлорид серебра
Silver iodide, Silver iodide, Иодид серебра
Silver nitrate, Silver nitrate, Нитрат серебра
Sodium acetate, Sodium acetate, Ацетат натрия
Sodium carbonate, Sodium carbonate, Карбонат натрия
Sodium chloride, Sodium chloride, Хлорид натрия
Sodium hydrogen carbonate, Sodium hydrogen carbonate, Гидрокарбонат натрия
Sodium hydrogen sulfate, Sodium hydrogen sulfate, Гидросульфат натрия
Sodium hydroxide, Sodium hydroxide, Гидроксид натрия
Sodium lauryl sulfate, Sodium lauryl sulfate, Лаурилсульфат натрия
Sodium silicate, Sodium silicate, Силикат натрия
Sodium sulfate, Sodium sulfate, Cульфат натрия
Sodium thiosulfate, Sodium thiosulfate, Тиосульфат натрия
Sucrose, Sucrose, Сахароза
Sulfur, Sulfur, Сера
Sulfuric acid, Sulfuric acid, Серная кислота
Tannin, Tannin, Танин
Tartaric acid, Tartaric acid, Винная кислота
Thymol blue, Thymol blue, Тимоловый синий
Tin (II) chloride, Tin (II) chloride, Хлорид олова (II)
Urotropine, Urotropine, Уротропин
Water, Water, Вода
Zinc chloride, Zinc chloride, Хлорид цинка
Zinc sulfate, Zinc sulfate, Сульфат цинка
Zinc, Zinc, Цинк
HTML_HEADER_EXPERIMENTS, Experiments, Эксперименты
HTML_HEADER_REAGENTS, Reagents, Реагенты
Oxidation numbers, Oxidation numbers, Степени окисления
Electronegativity, Electronegativity, Электроотрицательность
Atom mass, Atom mass, Атомная масса
amu, amu, аем
Ag, Silver, Серебро
Al, Aluminium, Алюминий
Au, Gold, Золото
Br, Bromine, Бром
C, Carbon, Углерод
Ca, Calcium, Кальций
Cl, Chlorine, Хлор
Cu, Copper, Медь
Fe, Iron, Железо
H, Hydrogen, Водород
I, Iodine, Иод
K, Potassium, Калий
Mg, Magnesium, Магний
Mn, Manganese, Марганец
N, Nitrogen, Азот
Na, Sodium, Натрий
O, Oxygen, Кислород
P, Phosphorus, Фосфор
S, Sulfur, Сера
Si, Silicon, Кремний
Sn, Tin, Олово
Zn, Zinc, Цинк